author,title,content
Helen,This laptop is great for my needs so far.,"For now I am giving it a 5 star rating.It is faster than my old duo core, it has more RAM and a bigger HD so that is a plus.For the price, it is a very good computer."
Grace,Nice PC with one problem,"This is a good value, easy to get going, fast....except....the keys are silver and the writing on the keys are faint. If you need to look at the keys to type, this is not for you. I can be frustrating to spend the extra time because the visibility isn't there."
Chris,Great computer,"Great computer. No complaints. I use it for online college work and business. I bought one for my wife last year and loved it, so when I needed a new one I looked for a HP Pavilian. This model seems to be the best quality and price."
Nautiguy,7 year old computer,"I don't know how long these computers have been sitting on the shelf or how computers 7 years old are still available. I did some research and windows 10 was installed in 2017. I don't know if these are refurbished or what they are and they don't come in HP packaging either. It's not that fast but faster than my old Pavillion I bought back in 2008. The SD card reader doesn't work and it isn't showing in the device manager which means there's no way of updating the driver because you need a device to do that. You can insert a known working SD card but nothing happens and YouTube and Google searches are useless because they all assume your SD reader is external or they tell you to update the driver or assign a drive letter but you need an installed device that shows in the device manager to do anything. The reason I bought this was to get a windows 10 pc with a built-in optical drive. I didn't want a windows 11 pc because everyone I know that has windows 11 says it's as bad as windows 8 was and probably won't be around very long. All that aside, the computer works as well as can be expected for what it is."
GMCd,Good laptop for your money,It is a good laptop with good ample memory and processor speed. The color is nice. The touch screen is very responsive even though it's something I don't use much.
A.,Would recommend this computer,This product was all I expected and more. I bought this computer to run 3D modeling programs. It has the hard drive capacity I was looking for. The 12GB of ram in addition to the 7th Gen i5 intel processor allows the computer to run extremely efficiently. Would recommend this computer.
Lars Isaacson,Extremely Slow,"We spent more money on this specific computer due to the faster processor and additional memory. Upon getting it home and opening it up, we were extremely disappointed in how slow the computer is. Web processors take forever to open, videos don't play smoothly. We've had it for several months and there has been no improvement. We have extremely fast wifi, our other computers work fine. We have not installed any software on it. I would guess it has something to do with this being a refurbished computer. I will not buy refurbished ever again. Additionally, for the money, I expected it to include Microsoft Office (to be fair, that was never stated anywhere) so it's basically useless for its intended purpose (to work from home)."
Reynord Stoute,Great Product,Great product. I use it for business and it works really good for what I do. If you're looking for an inexpensive but great laptop this is definitely a great choice
Amazon Customer,Alright laptop,"It worked really well for the first month, but now I am consistently having to reset the wireless in it. It gets the job done, but it can be extremely frustrating.I'd also add that this is a very large laptop, which it fine, but I definitely underestimated how large 15.6 inches was."
Omkara,Update: Owned for 2 years and notw it is dead,"Update May 2019: This laptop will no longer turn on. It says the main drive needs to be repaired and then nothing happens. I bought this laptop in March 2017, and it is dead by May 2019. That is ridiculous, this laptop has barley been used, as I graduated in July 2017. It has been kept up to date and maintained. My last HP laptop, bought from a staples for less money lasted for seven years, and only died because my dog knocked a glass of water on it with her tail. My HP desktop purchased at a Sam's Club is still going strong 10 years later. I am super disappointed in this purchase.I almost didn't order this laptop because of the reviews, but it has been great for me. It is not slow, I use it mainly for school and it has been great for me."
Lajuanna Peterson,Quality laptop,I like the laptop only thing missing is keyboard backlights
Tamara Green,Touch screen?,"So far so good, the only issue is I can't figure out how to access the touch screen aspect as it was advertised when I brought it"
Acqueme,Four Stars,Good product. Specs are what the seller said it was. Good for university!
Maritza,Dishonest sale,Not a touchscreen. I paid for a brand new computer and got a used one. Now its having hardware problems. Really dishonest.
Jim Basham,Great deal for the price,Great deal for the price. Haven't had a moments trouble with it!
Dario Cordoba,Nice computer. A little slow to start,"Nice computer. A little slow to start, but quite nice"
